data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;;;;
29 de maio de 2024;Muito bom;Funcionárias atenciosas, ambiente limpo, café da manhã muito bom!;O colchão não é bom, um pouco inclinado para o lado, causando desconforto... ;;;;;;;;
Então para quem busca conforto em uma acomodação;" é bem desgastante...""";8;;;;;;;;;
28 de maio de 2024;Bom;Localização;O hotel não fornece cobertores, senti muita falta, passei a noite desligando e ligando o ar, devido a falta do cobertor.;;;;;;;;
Não tem serviço de quarto;" não entregam água e não transportam bagagens para o quarto.""";7;;;;;;;;;
26 de maio de 2024;Muito bom;Gostamos, do café da manhã;Da localização;8;;;;;;;
18 de maio de 2024;Fantástico;;Não tem elevador, para subir aos quartos tem várias escadas. Se você estiver com várias malas (como foi o meu caso) terá bastante dificuldade para chegar até o seu quarto.;9;;;;;;;
6 de maio de 2024;Uzi Mar Maio 2024;Boa localização.;Café da manhã poderia abrir um pouco mais cedo para atender as pessoas que tem passeio programado com saída cedo. A variedade e apresentação do buffet também poderia melhorar.;7;;;;;;;
30 de abril de 2024;Tranquila e válida pelo valor cobrado;Localização e atendimento;Não teve ponto negativo, dentro do que a hospedagem se propõe e o valor;8;;;;;;;
30 de abril de 2024;Melhor custo benefício em Boa Viagem.;A localização é o ponto forte desse hotel. Está na rua paralela à Avenida Boa Viagem. Tem um bar próximo (Tatu Bola) que é muito bom e dá para ir à pé.;Não consigo apontar um ponto negativo. Pelo preço médio das hospedagens nessa região do recife, o hotel atende muito bem às expectativas, sendo o melhor custo benefício.;8;;;;;;;
23 de abril de 2024;Foi legal;Ótima;Escada;7;;;;;;;
23 de abril de 2024;Hotel necessita de Reforma e Dedetização;Boa localização, por eu ter chegado às 4h da manhã, pedi e deixaram fazer o check out às 14h. Atenção das funcionárias do café da manhã e recepção.;Hotel precisa de reforma e dedetização, solicitei quarto sem mofo pois sou muito alérgica e nos foi oferecido um no térreo com mofo, nr 113, pedi para ver outro, ficamos no 1º andar quarto 213, ao chegar havia uma barata pequena em cima da cama de casal, foi encontrada outra na área dos pratos no café da manhã. Móveis velhos e descarga quebrada. Só ficamos lá pois chegamos de um vôo de madrugada e não haveria como viajar de carro neste horário, hotel razoável para se passar uma noite no máximo caso não tivessem esses desconfortos! Isso é um feedback para se melhorar as instalações pois ele é bem localizado.;7;;;;;;;
22 de abril de 2024;Bom;Equipe solicita e simpática. ;;;;;;;;;
Café da manhã diversificado. ;;;;;;;;;;;
Ambiente simples; porém muito limpo. ;;;;;;;;;;
"Custo benefício bom!""";;7;;;;;;;;;
16 de abril de 2024;Muito bom;;Poderia ter uma coberta ou um lençol adicional.;8;;;;;;;
14 de abril de 2024;Fantástico;Localização maravilhosa, quarto grande e limpo.;Chuveiro de um dos banheiros não estava legal (com defeito) e o café da manhã poderia ter mais variedade.;9;;;;;;;
14 de abril de 2024;Legal;Limpeza, internet, funcionários;Café da manhã muito simples e repetitivo, nem queijo coalho tem. Assim como poucas opções. Não tem iorgute. Poucas frutas. Além disso, no entorno tudo é muito caro.;7;;;;;;;
10 de abril de 2024;Fantástico;Conforto e atendimento;Da internet;9;;;;;;;
8 de abril de 2024;muito boa;café da manhã dentro da expectativa.;;;;;;;;;
acomodação boa.;;;;;;;;;;;
"limpeza idem.""";poderia ter elevador;8;;;;;;;;;
7 de abril de 2024;Ótima localização.;Ótima localização e excelente café da manhã.;;8;;;;;;;
7 de abril de 2024;Recomendo pelo custo benefício;Atenção dos funcionários e limpeza;Caf3 da manhã deveria ser mais variado;8;;;;;;;
30 de março de 2024;Muito bom;Eu amei o café da manhã, a localização e o serviço de quarto;;8;;;;;;;
25 de março de 2024;Um lugar muito acolhedor.;Atendimento dos funcionários e solução de problemas de forma rápida e muito solícitos. Café razoável, mas dentro do padrão para o valor do hotel. Limpeza impecável, hotel muito bem cuidado. Camareiras e recepção é um diferencial. Recomendo e voltaria com certeza.;Poderia melhorar um pouco o café da manhã.;9;;;;;;;
25 de março de 2024;Muito bom;Da localização;Precisa melhorar as camas, travesseiros. São pouco confortáveis;8;;;;;;;
19 de março de 2024;Avaliação .;Gostei das instalações, pertinho da praia 🏖️.;Funcionários pouco receptivos , povo comunicativos , enfim , demora na entrada .;7;;;;;;;
18 de março de 2024;De modo geral, foi muito boa.;Atendimento, café, banho, Tv, Internet…;Cama um pouco dura.;8;;;;;;;
17 de março de 2024;Muito bom;Da hospitalidade dos funcionários;As instalações não estão boas . O chuveiro e o trinco da porta estavam caindo .;8;;;;;;;
10 de março de 2024;Foi boa;Localização;Estacionamento;7;;;;;;;
9 de março de 2024;Muito bom;Funcionários muito educados e solícitos, comida boa e a localização muito boa também.;Lençóis de cama não pareciam muito limpos, chão também não estava limpo, só havia 1 espelho e no banheiro, além do que a luz do banheiro era extremamente escura, muito pouca saída de ar.;8;;;;;;;
7 de março de 2024;Bom;Super limpo e bem localizado;Café sem opções,;7;;;;;;;
7 de março de 2024;Bom;Quarto e comodidades.;;;;;;;;;
"Confortável.""";Funcionários sem simpatia.;;;;;;;;;;
"Pareciam não treinados para atender o público.""";7;;;;;;;;;;
6 de março de 2024;Muito bom;Tudo;;8;;;;;;;
6 de março de 2024;Bom;Atendimento;;;;;;;;;
Arrumação;;;;;;;;;;;
Limpeza;;;;;;;;;;;
"Custo benefício.""";Tamanho do quarto;;;;;;;;;;
A água do chuveiro não esquentou;;;;;;;;;;;
"Só haviam lençóis.""";7;;;;;;;;;;
2 de março de 2024;Muito bom;Hotel Prático e bem localizado para ficar um noite só;;8;;;;;;;
2 de março de 2024;Muito boa estadia ,recomendo;Quarto bem conservados e confortável;Colchões;8;;;;;;;
24 de fevereiro de 2024;Ok;Localização muito boa;Quarto pequeno, ar antigo, tv pequena e simples;7;;;;;;;
23 de fevereiro de 2024;Fantástico;Localização;Nos dois primeiros dias não colocaram toalhas.;9;;;;;;;
23 de fevereiro de 2024;Boa estadia;Não foi mencionado nada no hotel sobre almoço.;Wi-fi poderia oscilou em vários momentos.;8;;;;;;;
15 de fevereiro de 2024;Muito bom;O hotel tem uma localização muito boa pois está bem próximo da praia e também dá para ir a pé na farmácia, padaria e supermercado. Os shoppings também não ficam muito distantes e o deslocamento de carro é bem rápido. Os funcionários são bem educados e atenciosos e o hotel serve um café da manhã saboroso.;O quarto não tem janela de correr e sim uma veneziana num canto do quarto, escondidinha sob uma cortina, o que deixa o ambiente com pouquissima ventilação e luz natural. Gostaria de sugerir que fossem colocados mais ganchos/suporte de roupas tanto no banheiro quanto no quarto, e que também fosse colocado espelho no quarto.;8;;;;;;;
14 de fevereiro de 2024;Custo benefício bom.;Tudo ok.;Do check-in pois quando cheguei, por volta das 22h00, não havia niguém na recepção e a porta de entrada estava trancada, fiquei na rua tocando a campainha várias vezes e ligando para o telefone do hotel sem retorno algum, após 20 minutos o recepcionista apareceu e abriu a porta.;8;;;;;;;
9 de fevereiro de 2024;Fantástico;Bom;Internet;9;;;;;;;
2 de fevereiro de 2024;Localização boa, porém básico para o valor.;Limpeza e a localização.;Café da manhã muito básico.;7;;;;;;;
1º de fevereiro de 2024;Fantástico;Cama confortável;Lençóis finos e pequenos;9;;;;;;;
31 de janeiro de 2024;Ótima localização;Café da manhã delicioso, hotel super perto da praia, com barzinhos próximos, padaria, não muito longe de Uber de pontos turísticos.;Éramos 3 pessoas e todo dia eu tinha que pedir a terceira toalha pq só deixavam duas. Seria muito interessante se eles conseguissem colocar uma academia mesmo que simples.;8;;;;;;;
30 de janeiro de 2024;Foi bom;Localização;Instalações e utensílios muito simples.;8;;;;;;;
29 de janeiro de 2024;muito boa;bom atendimento;o valor da diaria pelo Booking ser pago a vista, para facilitar deveria ser parcelado.;8;;;;;;;
29 de janeiro de 2024;Bom;A localização do hotel é boa, tem estacionamento externo e interno e serve um café da manhã ok. Tem um otimo custo benefício, apesar de eu nao ter dado sorte com o meu quarto.;A cama do quarto em que fiquei hospedado era muito dura e os travesseiros muito desconfortáveis. Passei uma noite bem ruim, pois não conseguia achar um jeito confortável para dormir. Isolamento acústico também é inexistente, e se escuta tudo no corredor e no quarto ao lado e acima. No geral, valeu pelo custo benefício e por ser apenas uma noite,.;7;;;;;;;
29 de janeiro de 2024;Hotel excelente para estadias curtas.;Excelente localização, principalmente se vai a recife de avião. Fica próximo a vários pontos de interesse. Com transporte por aplicativo não senti o custo do transporte caro para conhecer diversos pontos da cidade. Café da manhã variado com excelente atendimento dos recepcionistas.;Nada a reclamar, pelo valor que foi pago.;8;;;;;;;
28 de janeiro de 2024;Foi tranquila.;Localização;Café da manhã;8;;;;;;;
28 de janeiro de 2024;Foi apenas uma pernoite, as nos atendeu perfeitamente.;Não tomamos o café da manhã por conta do nosso vôo sair bem cedo. Ficamos apenas 1 diária.;Acomodações simples, mas dentro das nossas expectativas.;8;;;;;;;
28 de janeiro de 2024;Ótima localização, próximo de tudo. Café da manhã excelente, comida muito boa. Porem, os quartos deixam a desejar, muito;O café da manhã;O quarto;7;;;;;;;
27 de janeiro de 2024;Fantástico;sempre mim hospedo nesse hotel porque gosto da localizacao em geral tudo que e´para hospede, agora só falta melhorá mais alimentacao do cafe da manha;;9;;;;;;;
27 de janeiro de 2024;Fantástico;Localização, atendimento e custo benefício.;Nada a destacar.;9;;;;;;;
26 de janeiro de 2024;Bem localizado, Confortável e ótimo café da manhã.;Quarto limpo e confortável. Café da manhã com variedade e super saboroso.;O chuveiro é meio estranho parecia que ia explodir na nossa cabeça de tanto que mexia com a saída de água. E faltou um vidro pra fechar o Box, você tomava banho e acabava molhando o banheiro todo.;9;;;;;;;
26 de janeiro de 2024;Muito bom;Boa localização Bom os apartamentos limpo;;8;;;;;;;
23 de janeiro de 2024;Passagem rápida e tranquila.;Café, bom. Localização boa.;Faltou uma lixeira pro quarto. O banheiro tem a sua bem pequena(miúda)!;8;;;;;;;
22 de janeiro de 2024;Bom;;localizaçao.;7;;;;;;;
22 de janeiro de 2024;Foi tranquilo e confortável.;A localização muito boa para vários lugares, fica a uma rua da praia.;Senti falta de tomadas, só tem uma tomada ao lado do frigobar.;8;;;;;;;
22 de janeiro de 2024;Bom;localização muito boa;quarto com cheiro de mofo e café da manhã com poucas opções;7;;;;;;;
22 de janeiro de 2024;Muito bom;É um excelente custo benefício;;8;;;;;;;
21 de janeiro de 2024;Bom;;Só o ar que não estava gelando muito, o resto pelo preço que paguei foi ótimo!;7;;;;;;;
21 de janeiro de 2024;Custo benefício perfeito!;Café da manhã ótimo;;;;;;;;;
21 de janeiro de 2024;Muito bom;Ótima estadia!;;8;;;;;;;
21 de janeiro de 2024;Muito bom;O hotel e bem localizado,o café da manhã é farto,muito gostoso,o quarto possui estalaçõrs novas,ar gelando bem.;;;;;;;;;
No banheiro percebi um cheiro de esgoto no primeiro dia que cheguei;depois não senti mais.;;;;;;;;;;
Dei nota 8.;;;;;;;;;;;
Valeu pelo custo-bebefício.;;;;;;;;;;;
Indico a quem quer ficar perto da praia de Boa Viagem;embora não seja uma praia recomendada para banho.;;;;;;;;;;
O comércio no entorno do Hotel é bom;tem Mac Donald bem próximo;supermercado;pizzaria e farmácias.;;;;;;;;
"Recomendo!""";O cheiro de esgoto no banheiro,que percebi no primeiro dia,depois ñ mais.;8;;;;;;;;;
20 de janeiro de 2024;Estadia rápida com café da manhã;Localização;Não aceitar pet;7;;;;;;;
19 de janeiro de 2024;Bom;Localização, checkin 24 horas. As acomodações são similares ao anúncio.;Chuveiro não teve água quente em determinado momento. Não tinha coberta (com ar condicionado, minha esposa costuma sentir frio na temperatura que eu gosto).;7;;;;;;;
19 de janeiro de 2024;Boa;Tamanho do quarto;Café da manhã e limpeza do banheiro do Café da manhã;9;;;;;;;
18 de janeiro de 2024;Muito bom;Localização, Limpeza;;8;;;;;;;
17 de janeiro de 2024;Tranquila e satisfatória.;Muito bom o café, localização boa.;Estive de passagem, pouco conheci, mas retorno ainda. Gostei da localização.;8;;;;;;;
17 de janeiro de 2024;Vale o custo benefício;Quartos e café;Ar condicionado;8;;;;;;;
17 de janeiro de 2024;Boa;Café da manhã muito bom. Localização boa.;Acomodação simples.;8;;;;;;;
16 de janeiro de 2024;ótima.;O hotel é maravilhoso, aconchegante, rua movimentada, bem localizada.;;9;;;;;;;
16 de janeiro de 2024;Foi uma experiência muito boa.;Muito bom o café da manhã.;;;;;;;;;
"Se tivesse uma piscina no hotel seria um diferencial.""";Canais por assinatura.;;;;;;;;;;
"Pra ver pontualmente algum programa rápido.""";8;;;;;;;;;;
16 de janeiro de 2024;Boa;Localização;Atendente do checkin;8;;;;;;;
16 de janeiro de 2024;Hotel próximo de tudo com fácil acesso, acomodações boas.;Localização boa, atendentes simpáticos e atenciosos e quartos espaçosos. O custo da diária tem um bom valor.;A limpeza da suíte onde fiquei não estava boa, e uma das suítes precisou ser trocada pois estava muito mofada assim sendo necessário trocar uma senhora do quarto térreo para o quarto do primeiro pavimento, o hotel não tem elevador. Porém os funcionários foram atenciosos e prestativos e trocaram o quarto. Café da manhã com pouca variedade mas bom.;7;;;;;;;
14 de janeiro de 2024;O hotel é bom e o custo benefício vale a pena.;O hotel tem ótima localização, quarto confortável e espaçoso, o café da manhã era simples mas com tudo certinho e gostoso.;O quarto não tem boa acústica, por isso a gente acaba escutando barulho dos quartos vizinhos. E o chuveiro estava saindo água pelas laterais.;8;;;;;;;
13 de janeiro de 2024;Boa, mas poderia ser melhor;Quarto muito confortável, cama confortável, tudo muito limpo;Deixou a desejar no café da manhã, poderia haver mais opções, de frutas e acompanhamentos,;8;;;;;;;
13 de janeiro de 2024;Foi agradável;Localização;Falta um elevador;7;;;;;;;
11 de janeiro de 2024;Bom custo benefício;Localização;Café da manhã;7;;;;;;;
10 de janeiro de 2024;Razoável;Próximo a vários comércio e da praia;O apto sem ventilação é luz do sol, chega a ficar úmido o chão e o banheiro, as roupas úmidas e toalhas não secam. Café da manhã com fraca reposição, tivemos que ficar pedindo para reporem o que estava faltando.;7;;;;;;;
9 de janeiro de 2024;Bom;O custo benefício do valor pago foi excelente, minha estadia foi curta. ;;;;;;;;;
"Se fossem mais dias não recomendaria""";Cama, segurança e ventilação do quarto, café da manhã sem reposição dos itens;7;;;;;;;;;
7 de janeiro de 2024;Bom;Cafe da manhã estava bom com bastante opção;Conforto e a acomodação meio antiga;7;;;;;;;
7 de janeiro de 2024;boa;café da manhã bom, passar onibus na porta do hotel, proximo a praia.;;7;;;;;;;
6 de janeiro de 2024;Bom com restriçoes;Da localização, do atendimento dos funcionarios e recepçao. Cafe bonzinho;Como sou alergico à mofo e fiz um pedido especial na reserva pra terem atençao nisso, tive um problema com o ar condicionado que exalava cheiro de mofo. Sai de la totalmente com a rinite atacada;7;;;;;;;
