data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;;;;;;;;;;;;;;;;;;;;
19 de junho de 2024;Bom;Gostamos muito do café da manhã. Tinha uma quantidade boa de opções e nos ofereceram tapioca e cuscuz feitos na hora. O quarto é espaçoso e a localização é muito boa.;Quando chegamos, tinha cabelo e um par de cílios postiços no banheiro. Além disso, escolhemos cama de casal pelo Booking, mas nos deram um quarto com duas camas de solteiro. O atendente não perguntou nada durante o check in.;7;;;;;;;;;;;;;;;;;;;;;;;
19 de junho de 2024;Bom para uma noite;Localização ;;;;;;;;;;;;;;;;;;;;;;;;;
Bom café da manhã ;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Simpatia das funcionárias""";Banheiro sem box de vidro, apenas uma cortina de plástico, passa Aparência de hotel “barato”.;;;;;;;;;;;;;;;;;;;;;;;;;;
"Existem outras opções com preço equivalente que valem mais a pena.""";7;;;;;;;;;;;;;;;;;;;;;;;;;;
13 de junho de 2024;Ótimo custo benefício;Localização, café da manhã honesto e boa estrutura;O chuveiro tinha cortina e não box;8;;;;;;;;;;;;;;;;;;;;;;;
10 de junho de 2024;Voltarei!;Excelente localização, limpeza, quarto amplo e aconchegante. Muito bom!;Embora seja bom, o café da manhã poderia ser melhor.;9;;;;;;;;;;;;;;;;;;;;;;;
9 de junho de 2024;Fantástico;Atendimento da Teresa da recepção. A cama bastante confortável e a localização.;Achei que as instalações eram mais novas, pelo que vi nas fotos. Pelo menos no quarto que fiquei.;9;;;;;;;;;;;;;;;;;;;;;;;
5 de junho de 2024;Superou as expectativas para uma viagem rápida.;Café da manhã, localização, comodidade tudo próximo.;;8;;;;;;;;;;;;;;;;;;;;;;;
2 de junho de 2024;Ótima!;Conforto da cama, localização excelente, atendimento dos funcionários;Temperatura da água do chuveiro;;;;;;;;;;;;;;;;;;;;;;;;
30 de maio de 2024;Muito bom;Ótima localização... café da manhã maravilhoso;;8;;;;;;;;;;;;;;;;;;;;;;;
26 de maio de 2024;Fantástico;Atendimento e café da manhã 🥣;Limpeza do banheiro;9;;;;;;;;;;;;;;;;;;;;;;;
18 de maio de 2024;Muito bom;Localização!;Não tem estacionamento,o carro fica na rua!Isso incomoda!;8;;;;;;;;;;;;;;;;;;;;;;;
12 de maio de 2024;Boa estadia;Cama confortável, café da manhã muito bom. Atendimento excelente.;;;;;;;;;;;;;;;;;;;;;;;;;
Localização maravilhosa; opções de restaurantes; farmácias; supermercado;" tudo pertinho.""";Deixou a desejar na limpeza. Principalmente no banheiro. Box do banheiro que é estilo cortina com bastante acúmulo de sujeira na parte interna.;8;;;;;;;;;;;;;;;;;;;;;
9 de maio de 2024;Gostamos bastante do hotel. Simples, mas aconchegante.;Café da manhã com boa variedade. Colaboradores bem solícitos.;Infelizmente, não possuo estacionamento e a rua é bem movimentada. Fica complicado conseguir vaga na rua.;9;;;;;;;;;;;;;;;;;;;;;;;
5 de maio de 2024;Muito bom;Excelente localização, na frente tem um restaurante muito bom ,funcionários bem educados.;;8;;;;;;;;;;;;;;;;;;;;;;;
4 de maio de 2024;Bom;;Falta de estacionamento;7;;;;;;;;;;;;;;;;;;;;;;;
2 de maio de 2024;Muito satisfeita com o serviço do hotel. Chegaríamos após as 23h e fizemos o check-in sem nenhum problema. Todos os func;Limpeza, café da manhã, atendimento dos funcionários;Não achei nada que me desagradou;9;;;;;;;;;;;;;;;;;;;;;;;
24 de abril de 2024;Valeu;Atendeu super bem. Simples, mas bom! Valeu a pena o custo benefício;;;;;;;;;;;;;;;;;;;;;;;;;
"Ótima localização.""";;8;;;;;;;;;;;;;;;;;;;;;;;;;
15 de abril de 2024;Feedback;Educação e gentileza dos funcionários... todos muito atenciosos. Ótima localização... próximo a farmácia, restaurantes e poucos metros da praia... nossa estadia foi espetacular;Nada a reclamar... foi tudo maravilhoso;9;;;;;;;;;;;;;;;;;;;;;;;
15 de abril de 2024;Boa pra Ótima;Localização excelente. Ambientes sempre limpos. Funcionários simpáticos e prestativos. Café da manhã com boa variedade de itens.;Falta de estacionamento. Chuveiro com baixa vazão. Fechadura com trava falhando. Apt⁰ 201;8;;;;;;;;;;;;;;;;;;;;;;;
13 de abril de 2024;Bom;O apartamento é bem pequeno, mas limpo e organizado,gostei bastante e os funcionários bem receptivos. Café da manhã simples porém gostoso, e a localização boa ,perto da clínica que vou fazer tratamento de saúde, inclusive voltarei pra ficar hospedada uns 23 dias.;O quarto poderia ser um pouquinho maior e as camas não são muito confortáveis;8;;;;;;;;;;;;;;;;;;;;;;;
13 de abril de 2024;Muito bom;Ótimo café da manhã, funcionários atenciosos.;A torneira do banheiro fica longe da pia, molha tudo ao entorno.;8;;;;;;;;;;;;;;;;;;;;;;;
9 de abril de 2024;Bom custo benefício.;Equipe muito simpática, localização excelente, ótimo custo benefício.;Foi a segunda vez que fiquei no hotel, gosto muito, porém, nessa última vez, o quarto que eu fiquei (602) as janelas tremiam sempre que ligava o ar-condicionado. Então para dormir, atrapalhou um pouco.;9;;;;;;;;;;;;;;;;;;;;;;;
8 de abril de 2024;Fantástico;Das colaboradoras do café da manhã. Muito simpáticas. Michele é super atenciosa.;Da falta de ventilação no quarto. Pode-se colocar vidros basculantes ou rede nas janelas.;9;;;;;;;;;;;;;;;;;;;;;;;
26 de março de 2024;Fantástico;Localização excelente, muito limpo e café da manhã muito bom e Ar condicionado funcionando bem ( o que e indispensável em Recife)! Recomendo!;;9;;;;;;;;;;;;;;;;;;;;;;;
25 de março de 2024;Fantástico;Custo benefício adequado. Ótimo atendimento, com destaque para Teresa, sempre dedicada com o bem estar dos hóspedes. Quarto com instalações novas. Bom café da manhã. Localização excelente. Bares e restaurantes próximos, porém pode representar algum barulho a noite.;Falta espelho maior no quarto e o chuveiro poderia ser mais forte. Também pode melhorar um pouco a limpeza, principalmente nos cantos (havia ainda areia de praia deixada por hóspedes anteriores).;9;;;;;;;;;;;;;;;;;;;;;;;
22 de março de 2024;Ótima localização e quarto amplo;A localização é ótima, perto da praia, em frente a um mini-mercado e proximo de vários restaurantes. O quarto é bem amplo iluminado, limpo e uma cama muito boa, café da manhã muito gostoso.;A única observação de melhoria seria o chuveiro que tem pouca pressão e cai pouca água.;9;;;;;;;;;;;;;;;;;;;;;;;
18 de março de 2024;Muito bom;Bom atendimento, cama confortável.;Café da manhã sem opções.;8;;;;;;;;;;;;;;;;;;;;;;;
14 de março de 2024;Ótimo!!;Superou minhas expectativas. Localização excelente a 15 min do aeroporto é perto do mar.;Único ponto negativo que não tem estacionamento e a rua é bem movimentada.;9;;;;;;;;;;;;;;;;;;;;;;;
14 de março de 2024;Estaria muito agradável as pessoas são muito acolhedores educadas.;Os funcionários são Atenciosos e educados.;As acomodações com as janelas viradas para rua Sofrem com barulho externo devido aos bares da redondeza.;;;;;;;;;;;;;;;;;;;;;;;;
"Infelizmente não tem garagem para os carros .""";7;;;;;;;;;;;;;;;;;;;;;;;;;;
12 de março de 2024;Fantástico;Bom custo-benefício, ótima localização e funcionários simpáticos e educados;Acomodação simples, banheiro com cortina;9;;;;;;;;;;;;;;;;;;;;;;;
12 de março de 2024;perfeita;acomodações , atendimento ,localização;;9;;;;;;;;;;;;;;;;;;;;;;;
10 de março de 2024;Bom;Localização;;7;;;;;;;;;;;;;;;;;;;;;;;
7 de março de 2024;Muito bom;Boa localização!;Limpeza;8;;;;;;;;;;;;;;;;;;;;;;;
5 de março de 2024;Atendeu as expectativas;Localização;Tudo certo;9;;;;;;;;;;;;;;;;;;;;;;;
23 de fevereiro de 2024;Uma boa escolha, voltaria com certeza.;Boa localização, chuveiro, equipe atenciosa e café da manhã de acordo com o custo-benefício.;A fechadura eletrônica do quarto apresentou problema mas nada que seja um incômodo relevante.;8;;;;;;;;;;;;;;;;;;;;;;;
22 de fevereiro de 2024;Muito bom;Gostei muito da localização e do atendimento dos funcionários.;;8;;;;;;;;;;;;;;;;;;;;;;;
15 de fevereiro de 2024;Bom;Funcionários ótimos, sempre muito solícitos. Bom café da manhã.;Custo-benefício não foge muito do padrão de hotéis em Recife, o que não é muito bom. Instalação simples, mas atende às necessidades.;8;;;;;;;;;;;;;;;;;;;;;;;
10 de fevereiro de 2024;Vale a pena pelo custo benefício, se for para ficar pouco tempo.;Limpeza. Preço. Localização.;O prédio é um pouco velho. Os elevadores são antigos e um estava em manutenção. O quarto é bem pequeno.;9;;;;;;;;;;;;;;;;;;;;;;;
6 de fevereiro de 2024;Boa;Localização...café da manhã...acomodação...limpeza...;Só faltou um espelho...p uma mulher...é essencial;9;;;;;;;;;;;;;;;;;;;;;;;
2 de fevereiro de 2024;Fantástico;O conforto e a limpeza dos quartos e excelente. Só poderiam melhorar o Wi-Fi que não chega no sexto andar. ;;;;;;;;;;;;;;;;;;;;;;;;;
A atenção dos funcionários;" principalmente das camareiras e excelentes. Com certeza recomendo.""";Só não gostei do Wi-Fi que não chega bem no sexto andar;9;;;;;;;;;;;;;;;;;;;;;;;;
29 de janeiro de 2024;Muito bom porém precisa melhorar em alguns itens.;Ótima acomodação, limpeza, serviços de quarto diariamente e pessoas bem educadas e um ótimo café da manhã;Ar-condicionado do quarto estava péssimo e não conseguia gelar direito e sempre que ligava ele subia um mal cheiro. Resumindo é que passei muito calor no quarto.;7;;;;;;;;;;;;;;;;;;;;;;;
29 de janeiro de 2024;Muito bom;Da cama, do chuveiro e do café da manhã.;;8;;;;;;;;;;;;;;;;;;;;;;;
29 de janeiro de 2024;Bom hotel;Bem localizado.;Simples, mas ok.;8;;;;;;;;;;;;;;;;;;;;;;;
28 de janeiro de 2024;Ambiente simples e confortável.;atendimento, televisão já com conta netflix, bom chuveiro e ar condicionado.;sem estacionamento, e banheiro com cortina;9;;;;;;;;;;;;;;;;;;;;;;;
28 de janeiro de 2024;Café da manhã muito bom;Localização, limpeza e café da manhã são ótimos;;8;;;;;;;;;;;;;;;;;;;;;;;
24 de janeiro de 2024;Hotel básico sem muita estrutura.;Não temos como falar muito, paramos só para dormir. a cama era boa.;Quando chegamos no banheiro tinha um chichizinho, não puxaram a descarga . O café era bem simples. Estava em obras em vários pontos.;;;;;;;;;;;;;;;;;;;;;;;;
"O blecaut era ruim.""";7;;;;;;;;;;;;;;;;;;;;;;;;;;
23 de janeiro de 2024;Quarto confortável e limpo, funcionários excelentes, localização maravilhosa próximo a praia e café da manhã perfeito!;Limpeza dos quartos e simpatia da recepcionista;Só a falta de estacionamento privado;9;;;;;;;;;;;;;;;;;;;;;;;
22 de janeiro de 2024;O hotel possui um bom custo/benefício.;Café da manhã atende as expectativas, fazem tapioca na hora, o que acaba dando um upgrade na experiência.;;;;;;;;;;;;;;;;;;;;;;;;;
A localização é excelente;" próximo a praia e restaurantes de excelente qualidade.""";Falta colocarem um box de vidro, cortina sua tudo e já está em desuso.;;;;;;;;;;;;;;;;;;;;;;;;;
Acho que é necessário um estacionamento próprio; o hóspede acaba deixando o veículo na hora;" o que pode causar problemas.""";8;;;;;;;;;;;;;;;;;;;;;;;;
22 de janeiro de 2024;Satisfatória;Cama;Espaço;8;;;;;;;;;;;;;;;;;;;;;;;
18 de janeiro de 2024;Muito bom;Otima localizaçao e custo beneficio, unica insatisfaçao é com atual processo de manutençao no predio que pode gerar alguns infortuneo , porem apos essa pequena intervençao acredito que os serviços será oferecido de maneira plena....;Infelizmente o predio está passando por reforma isso gera alguns transtornos, nada muito relevante...para quem prcura uma estadia curta ...;8;;;;;;;;;;;;;;;;;;;;;;;
17 de janeiro de 2024;Satisfatório;Quarto espaçoso, bem iluminado, ar bom, tudo limpo e funcionando. Café da manhã muito bom.;Banheiro pequeno, sem box, com cortina. Elevador capenga, péssimo.;7;;;;;;;;;;;;;;;;;;;;;;;
16 de janeiro de 2024;Muito bom;Café da manhã, localização do hotel;No quarto faltou um espelho grande e porta toalhas;8;;;;;;;;;;;;;;;;;;;;;;;
14 de janeiro de 2024;Adequada para um pernoite.;Café da manhã.;Elevador muito antigo.;8;;;;;;;;;;;;;;;;;;;;;;;
8 de janeiro de 2024;Bom mas poderia ser melhor;Localização;Manutenção das instalações precária;7;;;;;;;;;;;;;;;;;;;;;;;
7 de janeiro de 2024;Muito bom;;Ficamos um dia sem o serviço de quarto. ;;;;;;;;;;;;;;;;;;;;;;;;
O hotel estava somente com um elevador funcionando.;;;;;;;;;;;;;;;;;;;;;;;;;;;
O cartão/chave da porta do quarto desmagnetizava muito.;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Controle remoto da TV não funcionou.""";8;;;;;;;;;;;;;;;;;;;;;;;;;;
5 de janeiro de 2024;Bom;;Banheiros e acústica ruim;7;;;;;;;;;;;;;;;;;;;;;;;
4 de janeiro de 2024;Fantástico;;O ar condicionado não gelava e estava longe da cama;9;;;;;;;;;;;;;;;;;;;;;;;
4 de janeiro de 2024;Praticidade com conforto;Localização excelente, equipe sempre prestativa e bom conforto.;;7;;;;;;;;;;;;;;;;;;;;;;;
2 de janeiro de 2024;Fantástico;A localização é perfeita e o café da manhã muito muito bom;O quarto não tinha vista;9;;;;;;;;;;;;;;;;;;;;;;;
2 de janeiro de 2024;Confortável para 1 noite;Atendimento;Barulho do ar;9;;;;;;;;;;;;;;;;;;;;;;;
2 de janeiro de 2024;Quarto bem apertado, café da manhã ok, localização top;Localização;Elevadores;7;;;;;;;;;;;;;;;;;;;;;;;
30 de dezembro de 2023;Boa localização, mas precisa ser renovado;A localização é excelente, próximo da praia, restaurantes, supermercado, etc.;;;;;;;;;;;;;;;;;;;;;;;;;
"O café da manhã tem boa variedade.""";Os cobertores estavam rasgados (bem rasgados). ;;;;;;;;;;;;;;;;;;;;;;;;;;
Os travesseiros eram excessivamente finos.;;;;;;;;;;;;;;;;;;;;;;;;;;;
A área do box não tem blindex e o chuveiro; apesar de ter um espalhador;" estava inclinado (a água ia em direção à parede).""";7;;;;;;;;;;;;;;;;;;;;;;;;
28 de dezembro de 2023;Localização ótima e quarto confortável, porém não é muito silencioso aos finais de semana.;A localização é excepcional, pertinho da praia, inclusive com uma choperia grande um mercadinho enfrente. O quarto também é confortável, com cama agradável e banheiro com espaço legal.;A choperia que tem enfrente é muito barulhenta anoite, o meu quarto era virado para o outro lado e mesmo assim pegou barulho do bar que vinha pelo corredor. Se pegar quarto virado para a choperia, o barulho será muito incômodo, tenha certeza.;8;;;;;;;;;;;;;;;;;;;;;;;
27 de dezembro de 2023;Bom custo benefício e otimo atendimento da recepção.;Quarto amplo, banheiro limpo e bem localizado;O quarto inicialmente entregue estava com cheiro forte de mofado, após solicitar trocaram para outra acomodação melhor.;7;;;;;;;;;;;;;;;;;;;;;;;
27 de dezembro de 2023;Bom;A localização é cordialidade dos funcionários.;A cama muito desconfortável e o banheiro que não tinha box, era uma cortina e molhava tudo.;7;;;;;;;;;;;;;;;;;;;;;;;
20 de dezembro de 2023;Boa acomodação. Equipe do hotel boa. Hotel não tem garagem, carros ficam na rua.;Os quartos pequenos mas muito limpos e organizados.;O hotel não dispõe de garagem.;7;;;;;;;;;;;;;;;;;;;;;;;
17 de dezembro de 2023;boa localização é bom custo-beneficio, me hospedaria novamente.;Bom custo-beneficio;o ar condicionado estava fazendo muito barulho, mas como só iria ficar uma diária não solicitei mudança de quarto;;;;;;;;;;;;;;;;;;;;;;;;
16 de dezembro de 2023;Muito bom;Tudo;Banheiro;8;;;;;;;;;;;;;;;;;;;;;;;
14 de dezembro de 2023;A estadia no hotel Duble foi muito boa.;Café da manhã e localização ótimos.b;Embora pudesse deixar a bagagem antes do check in, não tinha um armário específico.;;;;;;;;;;;;;;;;;;;;;;;;
Embora não fosse culpa do hotel este caso;" faltou luz e fiquei presa no elevador. Mas a equipe foi rápida e prestativa.""";9;;;;;;;;;;;;;;;;;;;;;;;;;
12 de dezembro de 2023;Razoável;O café é muito bom, a localização é perfeita e os funcionários são muito atenciosos.;O prédio é velho e cheira a coisa velha.;7;;;;;;;;;;;;;;;;;;;;;;;
8 de dezembro de 2023;Satisfatória;Funcionários muito educados, Café da manhã bem satisfatório. Camas confortáveis, chuveiro e ar condicionado eram bons. Ótima localização.;Não havia suportes para toalhas (foram colocados durante nossa estadia devido a minha reclamação)e não havia box, era cortina no banheiro. Quando questionei a recepção já que nas fotos todos possuíam blidex e não cortinas, ela informou que poderia ver a possibilidade de um “upgrade” e que havia nas fotos quando vc vai reservar a acomodação. Mas eu acho que blidex não é upgrade e vi vários relatos de insatisfação no booking. Acho que podem colocar fotos reais para que os hóspedes entendam como será a acomodação. Os travesseiros também eram ruins e só havia 1 por hóspede.;8;;;;;;;;;;;;;;;;;;;;;;;
5 de dezembro de 2023;Excelente custo/benefício;A localização do hotel é excelente, há duas quadras da praia. Também há bares próximos. Os quartos são simples, mas muito limpos, a cama é confortável e o ar condicionado, novo.;Achei tudo de acordo com o que o hotel propõe.;9;;;;;;;;;;;;;;;;;;;;;;;
4 de dezembro de 2023;Gostei bastante da estadia. O hotel e o staff estão de parabéns! Ideal para viagens rápidas.;Hotel bem localizado, estrutura nova e bem conservada, quarto pequeno, porém bastante confortável. O café da manhã estava muito bem servido, mas senti falta de uma tapioca feita na hora. Se a cozinha disponibiliza isso, o staff da cozinha não informou.;Não possui estacionamento. Estacionei meu carro na rua do hotel, mas é necessário contar com sorte pra achar uma vaga.;9;;;;;;;;;;;;;;;;;;;;;;;
