data_avaliacao,titulo,comentario_positivo,comentario_negativo
15 de dezembro de 2024,Excelente,"Quarto maravilhoso, todo o funcionamento através da Alexa, muitas amenidades como cafeteira, frutas e bebidas no quarto. Café da manhã com piano ao vivo. No meu quarto haviam duas camas de casal muito confortáveis",Nada
15 de dezembro de 2024,Excepcional,"O atendimento e presteza dos funcionários. Agradecimento especial à Isabel, Ana Lúcia, Eliene e Alex.",A piscina poderia estar mais quente.
13 de dezembro de 2024,Ótimo hotel,"Já me hospedo nesse hotel a alguns anos, sempre que vou a Recife fico no Atlante, é um hotel excelente com um atendimento maravilhoso, funcionários simpáticos e solícitos, café da manhã completo, maravilhoso.","Nada a reclamar, tudo excelente"
12 de dezembro de 2024,Hotel 4 estrelas de boa qualidade. Longe de ser 5 estrelas,As toalhas de banho e a roupa de cama não são de boa qualidade além de nunca forrarem corretamente o colchão…,"Muita claridade no quarto
Banheiro não muito grande"
12 de dezembro de 2024,muito boa,atendimento,nada a declarar
11 de dezembro de 2024,Excepcional,"O hotel é muito bom. Localização excelente de frente para o mar, elevador panorâmico. Funcionários gentis e prestativos. Fui para fazer uma prova, então não pude aproveitar todas as instalações. Fiquei no quarto luxo, quarto bem espaçoso, muito confortável. 
Sobre o café da manhã: o hotel tem 2 restaurantes. Em um deles serve um café da manhã à la carte, liberado para os hóspedes das suítes que ficam em frente ao mar (acho que para os demais, tem que pagar, não tenho certeza). 
Por uma situação muito peculiar, eu ganhei o café da manhã do restaurante Mirage (à la carte) e amei. A comida é excelente, eu não lembro a última vez que tomei uma café da manhã tão bom. Os garçons te atendem muito bem e as comidas que você pede não demoram a chegar. Logo quando você chega, já é servido frutas e pães. O cardápio é variado, realmente tem de tudo. Comi uns ovos beneditinos com bacon que estavam maravilhosos. O capuccino, idem. 
Eu cheguei a fazer refeição no outro restaurante (almoço e jantar) e não tenho do que reclamar. A comida estava muito boa. 

Por fim, importante salientar: o hotel é perto do aeroporto. Precisei ir embora de madrugada e foi bem tranquilo pegar uber e chegar no aeroporto.","Sobre a situação que me levou a ganhar o café da manhã no Mirage: eu encontrei uma barata pequena no banheiro do meu quarto. A funcionária da recepção que atendeu à minha reclamação foi solícita, me trocou de quarto imediatamente e me deu esse café por conta do transtorno. Tive até ajuda de outro funcionário para levar as coisas. Apesar desse inconveniente, a minha estadia no hotel foi boa. 

Vou fazer outra observação que não tem nada a ver com o hotel, mas é um alerta para os que chegam pelo aeroporto: se for pedir uber, prestem atenção ao endereço, pois o aplicativo me levou para outro lugar (embora o nome do hotel estivesse correto)."
11 de dezembro de 2024,Valeu muito a pena. Nota DEZ para tudo,"A suíte vista mar é super espaçosa e muito bem decorada. O restaurante é fabuloso e o café da manhã impecável. Foi um final de semana inesquecível, e retornarei futuramente. Valeu muito a pena. Nota DEZ para tudo.",
10 de dezembro de 2024,Excelente,"Conforto, limpeza!",
9 de dezembro de 2024,Sempre que puder voltarei,"O quarto é super agradável, café da manhã impecável, senti falta da época que tinha todynho mas nada que faca tanta falta assim, a tapioca é maravilhosa feita na hora, a academia brilhante, tudo maravilhoso.","Que onde tem a psicina venta muito sendo um pouco desconfortável, mas nada que estrague viagem ou mergulho nenhum, até porque as praia são perfeitas"
9 de dezembro de 2024,Fantástico,"Excelente localização.
Café da manhã com muita variedade.
Atendimento excepcional de todos os funcionários. Todos muito atenciosos e solícitos",
9 de dezembro de 2024,Fantástico,"Equipe atenciosa e agradável, quarto limpo e confortável",
9 de dezembro de 2024,Hotel para quem quer excelência com preço justo,"Localização 
Café da manhã 
Quarto espaçoso",Não teve
9 de dezembro de 2024,Maravilhosa,"Atendimento da equipe, dos manobristas a recepção, camareiras... perfeito.","localização da minha estadia, nada que tire alguma nota do feeling das pessoas do hotel."
8 de dezembro de 2024,Excepcional,Do quarto e da vista. O atendimento da Heloisa foi nota 1.000.,
7 de dezembro de 2024,Excepcional,"Ótima localização, funcionários atenciosos e educados. Café da manhã maravilhoso. Ambiente aconchegante e bem decorado.","Cama desconfortável, travesseiro horrível, muito baixo, duro. Pelo custo da diária poderia oferecer mais conforto, principalmente nos travesseiros."
7 de dezembro de 2024,Maravilhoso 😍,"Ótima localização, ótima estrutura, quartos limpos, espaçosos e aconchegantes e um café da manhã sensacional 😋😋😋 e ainda fomos recepcionados ao som clássico de saxofone 🎷 Encantador 😍",
5 de dezembro de 2024,Muito bom,Vista do quarto frente mar.,"O espaço do café da manhã é pequeno e não suporta a quantidade de hospedes, todos os dias havia fila e tempo de espera, isso acabou fazendo com que no último dia nem pudemos tomar o café da manhã, o valor da diária é muito alto para que o hotel ocasione esse problema ao hospede, na próxima estadia em Macéio não ficaremos neste hotel."
2 de dezembro de 2024,Boa relação custo benefício,"Café da manhã muito bom, hotel limpo e muito bem localizado. Equipe prestativa, porém lenta para resolver assuntos urgentes relacionados ao business center.","Os elevadores do hotel são um pesadelo. São ao todo 4 elevadores que não dão conta do fluxo de hóspedes, e não falo somente dos horários de pico. Os equipamentos precisam de manutenção, visto que os botões de chamada não funcionam em vários andares, além da chamada ser individualizada para cada um (poderiam ter um controle inteligente). Perde-se muito tempo para acessar os andares."
2 de dezembro de 2024,Fantástico,"HOTEL BEM LOCALIZADO, CONFORTÁVEL E COM LIMPEZA MUITO BOA.
O ATENDIMENTO DA EQUIPE FOI EXCELENTE
QUARTO CONFORTÁVEL E AMPLO
PISCINA AGRADÁVEL NO TERRAÇO","O SERVIÇO NA PISCINA PODERIA SER MELHOR
CHECK IN UM POUCO TARDE"
2 de dezembro de 2024,Excelente hotel! Linda vista do mar!,"Hotel muito bem localizado, cama confortável, ótimo café da manhã e excelente atendimento dos funcionários.",Os travesseiros podem melhorar.
2 de dezembro de 2024,Maravilhosa!,Tudo impecável!,Estava tudo perfeito
1º de dezembro de 2024,Excepcional,Tudo perfeito.,Não existe do que reclamar.
30 de novembro de 2024,Excepcional,A vista maravilhosa da piscina 😍,"Não gostei porque fiquei só 2 dias, pois minhas férias no Brasil terminaram 😉😭"
29 de novembro de 2024,Muito agradável e aconchegante,Conforto e vista,Nada
26 de novembro de 2024,maravilhosa do começo ao fim!,"todos os colaboradores são muito atenciosos, estavam dispostos a resolver qualquer problema.","a limpeza na parte do cofre deixou a desejar e as cobertas da primeira noite também estavam um pouco manchadas com algo que parecia sangue, mas nada que não pôde ser resolvido."
26 de novembro de 2024,"Maravilhosa, a equipe da recepção é ótima! Todo o pessoal é simpático e atencioso.",O café estava ótimo.,A localização dos equipamentos do serviço atrapalham o deslocamento dos hóspedes.
26 de novembro de 2024,Fenomenal,Ótimo café da excelente o a comida do restaurante muito bom e com preços acceciveis,
26 de novembro de 2024,Excepcional,Tudo,
25 de novembro de 2024,Atendente Heloise faz toda diferença na recepção. Nota mil pra ela.,"Limpeza, conforto, camas, tudo!!!",Nada a declarar
25 de novembro de 2024,Excelente custo benefíco.,"Apartamentos confortáveis, café da manhã bom e bastante variado.",Estacionamento não é gratuito.
25 de novembro de 2024,Excepcional,"Não tenho do que reclamar.
Atendimento e instalações excelentes, sem falar do maravilhoso café da manhã.",
25 de novembro de 2024,Lindo e Inesquecível,"simpatia desde a recepção até serviço de carros todos atenciosos e muito simpáticos resolutivos e prestativos .
no café da manhã. Caline. Aline . Eliza e Rafaela muito a simpáticas e atenciosas",nada
23 de novembro de 2024,Já fui várias vezes e voltarei com certeza,"Limpeza, pequeno almoço",Elevadores
23 de novembro de 2024,ótimo custo beneficio em recife,Localização muito boa e com um quarto fantástico,"A vista do quarto dava pra um prédio vizinho, bem próximo. 
A retirada do carro do estacionamento pode demorar até 20 minutos e não há como agendar a retirada antecipadamente."
22 de novembro de 2024,Fantástica,"Atendimento impecável, excelente café da manhã!",
21 de novembro de 2024,Vale a estadia com certeza.,"Quarto luxo de frente para o mar excelente. Bom tamanho, confortável e uma excelente ducha.",Nada desagradou.
21 de novembro de 2024,Excepcional,Quarto amplo de frente para o mar.,Nada a reclamar.
20 de novembro de 2024,"Foi uma ótima estadia, porque naturalmente acordo cedo, mas o quarto é muito barulhento.","Atendimento dos funcionários, serviço de quarto e café da manhã irretocáveis!","O quarto que fiquei hospedada, no 14º andar, ficava embaixo da Academia do hotel e de manhã havia muito barulho.
Não era um quarto silencioso, porque é conjugado com o quarto do lado e a parede é muito fina."
19 de novembro de 2024,"Gostei bastante, voltarei.",O café da manhã é sensacional. Solicitei um quarto com banheira e fomos atendidos. A localização também é perfeita.,"Não gostei muito da piscina, não era acessível (precisa subir 2 lances de escada) e a piscina infantil fica na sombra então a água não esquenta mesmo num dia quente. Também a piscina só é acessada através de um elevador e ele demora horrores."
19 de novembro de 2024,Não queria ir embora,"Hotel é muito bonito, um luxo só, elevador panorâmico de frente para o mar é sensacional , café da manhã muito bom tb!!, instalações muito bonitas, de muito bom gosto, recomendo muito!!!",Nada a reclamar
19 de novembro de 2024,Noite de núpcias perfeita em um hotel perfeito!,"A estrutura do hotel é perfeita, os funcionários muito atenciosos e educados. O café da manhã é simplesmente maravilhoso, com muita variedade e opções de pratos e sobremesas. A piscina e o ambiente em volta são muito agradáveis também.",Não houve.
18 de novembro de 2024,Recomendo demais,Gostei muito,Atendimento é o quarto
18 de novembro de 2024,Otimo custo benefício,"Localização em frente ao mar, mas num ponto sem acesso a banho de mar. Próximo à feira de artesanato. Amplo quarto, muito confortável, de ótima qualidade. Café da manhã de ótimo nível, com todas as opções de alimentação. Restaurante muito bonito, com musica ao vivo no café da manhã. Serviço de quarto muito bom, com atendimento rápido e de qualidade. Atendentes muito simpáticos. Academia excelente e área de piscina no ultimo andar muito bonita.",Nada
18 de novembro de 2024,excelente fim de semana com a familia,"Acomodação, serviços/atendimento e excelente café da manhã e serviços de restaurante.",nada a comentar
17 de novembro de 2024,Perfeita,"Hotel perfeito, super recomendo tudo pensado nos mínimos detalhes, café da manhã perfeito sem comentários! 
Atenção especial para heloise que fica na recepção, um atendimento surreal de perfeito, atenção 100%. Tirou todas as dúvidas com calma e clareza, por mais pessoas assim !",Nada
17 de novembro de 2024,Voltarei sem sombra de dúvida!,"Quarto limpo, moderno, serviço de quarto, jazz no hall de entrada, funcionários solícitos",Nada
16 de novembro de 2024,Agradável!,"O hotel é excelente! Bonito, limpo e receptivo! Conta também com piscina aquecida! A música do café da manhã é sem igual!","Não tem faixa de areia na frente do hotel, tendo que andar alguns metros para acessar o mar - mas não tira a qualidade do hotel!"
16 de novembro de 2024,Perfeita,Ar condicionado potente,
14 de novembro de 2024,"Otima, uma das melhores!","Atendimento da equipe todos nota 1000, lugar limpo organizado, fazia anos que nao ia em um hotel com essa excelência",nada
13 de novembro de 2024,Maravilhosa,Bom,
13 de novembro de 2024,Ótima opção de hotel,Hotel com ótima localização e vista muito bonita da orla marítima. Café da manhã muito bom com muitas variedades. Quarto confortável com banheiro muito bom. Funcionários muito gentis e atenciosos.,A acústica do hotel não é muito boa.
12 de novembro de 2024,Muito bom,,"Foi reservado um apartamento triplo colocaram em um quarto com duas comas de solteirão ficou muito desconfortável, pedi para mudarem para um quarto com 3 camas disseram que não tinha pedi para colocar outra coma falaram que não podia eu perguntei porque falaram que não dava eu questionei porque dava, falaram que não podia tirar a cabeceira da cama de lugar. E viajou com uma pessoa deficiente."
11 de novembro de 2024,Tranquila!,O quarto é espaçoso. Roupa de cama e banho muito boa. Tem frigobar. E a melhor parte: é Pet friendly (paga taxa por fora),"As luzes do quarto. Tem um espelho otimo, mas vc não consegue se enxergar. Poderia ter a opcão de uma luz forte (liga quem gosta). O café da manhã tb deu uma caidinha…"
